"SQLInstance"|"dbName"|"partition_id"|"object_id"|"index_id"|"partition_number"|"hobt_id"|"rows"|"filestream_filegroup_id"|"data_compression"|"data_compression_desc"|"xml_compression"|"xml_compression_desc"
"EC2AMAZ-2A4D56D"|"sampledb"|"844424936357888"|"95"|"3"|"1"|"844424936357888"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424936423424"|"96"|"3"|"1"|"844424936423424"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"1125899909070848"|"34"|"4"|"1"|"1125899909070848"|"2561"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"1125899909857280"|"46"|"4"|"1"|"1125899909857280"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038386688"|"2073058421"|"1"|"1"|"72057594038386688"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038452224"|"2073058421"|"2"|"1"|"72057594038452224"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038583296"|"2089058478"|"1"|"1"|"72057594038583296"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038648832"|"2089058478"|"2"|"1"|"72057594038648832"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038714368"|"2089058478"|"3"|"1"|"72057594038714368"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038779904"|"1993058136"|"1"|"1"|"72057594038779904"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038845440"|"1993058136"|"2"|"1"|"72057594038845440"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038910976"|"2025058250"|"1"|"1"|"72057594038910976"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594038976512"|"2025058250"|"2"|"1"|"72057594038976512"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594039042048"|"2057058364"|"1"|"1"|"72057594039042048"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594039107584"|"2057058364"|"2"|"1"|"72057594039107584"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594039238656"|"2105058535"|"1"|"1"|"72057594039238656"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594040483840"|"101575400"|"1"|"1"|"72057594040483840"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594040549376"|"101575400"|"2"|"1"|"72057594040549376"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594040680448"|"117575457"|"1"|"1"|"72057594040680448"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594040745984"|"117575457"|"2"|"1"|"72057594040745984"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594040811520"|"117575457"|"3"|"1"|"72057594040811520"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594040942592"|"133575514"|"1"|"1"|"72057594040942592"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041008128"|"133575514"|"2"|"1"|"72057594041008128"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041073664"|"149575571"|"0"|"1"|"72057594041073664"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041139200"|"149575571"|"2"|"1"|"72057594041139200"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041270272"|"165575628"|"1"|"1"|"72057594041270272"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041335808"|"165575628"|"2"|"1"|"72057594041335808"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041466880"|"181575685"|"1"|"1"|"72057594041466880"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041532416"|"181575685"|"2"|"1"|"72057594041532416"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041663488"|"197575742"|"1"|"1"|"72057594041663488"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041729024"|"197575742"|"2"|"1"|"72057594041729024"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041860096"|"213575799"|"1"|"1"|"72057594041860096"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594041925632"|"213575799"|"2"|"1"|"72057594041925632"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042056704"|"229575856"|"1"|"1"|"72057594042056704"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042122240"|"229575856"|"2"|"1"|"72057594042122240"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042253312"|"245575913"|"1"|"1"|"72057594042253312"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042384384"|"261575970"|"1"|"1"|"72057594042384384"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042449920"|"261575970"|"2"|"1"|"72057594042449920"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042580992"|"277576027"|"1"|"1"|"72057594042580992"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042646528"|"277576027"|"2"|"1"|"72057594042646528"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042777600"|"293576084"|"1"|"1"|"72057594042777600"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042843136"|"293576084"|"2"|"1"|"72057594042843136"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042908672"|"309576141"|"0"|"1"|"72057594042908672"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594042974208"|"325576198"|"0"|"1"|"72057594042974208"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594043105280"|"565577053"|"1"|"1"|"72057594043105280"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"72057594043170816"|"885578193"|"0"|"1"|"72057594043170816"|"0"|"0"|"0"|"NONE"|""|""
