"SQLInstance"|"dbName"|"name"|"object_id"|"principal_id"|"schema_id"|"parent_object_id"|"type"|"type_desc"|"create_date"|"modify_date"|"is_ms_shipped"|"is_published"|"is_schema_published"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysxmlcomponent"|"91"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysxmlfacet"|"92"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysxmlplacement"|"93"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysobjkeycrypts"|"94"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:13 PM"|"4/13/2009 12:59:13 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysasymkeys"|"95"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:13 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syssqlguides"|"96"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:13 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysbinsubobjs"|"97"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syssoftobjrefs"|"98"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sqlagent_jobs"|"101575400"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sqlagent_jobsteps"|"117575457"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sqlagent_job_history"|"133575514"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sqlagent_jobsteps_logs"|"149575571"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_query_text"|"165575628"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_query"|"181575685"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:55 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_plan"|"197575742"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_runtime_stats"|"213575799"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"8/28/2025 11:51:47 AM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_runtime_stats_interval"|"229575856"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_context_settings"|"245575913"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_query_hints"|"261575970"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_query_template_parameterization"|"277576027"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"plan_persist_wait_stats"|"293576084"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"persistent_version_store"|"309576141"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:55 PM"|"9/24/2019 2:19:55 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"persistent_version_store_long_term"|"325576198"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:55 PM"|"9/24/2019 2:19:55 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"wpr_bucket_table"|"565577053"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"8/30/2025 8:28:35 PM"|"8/30/2025 8:28:35 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"NewTable"|"885578193"|""|"1"|"0"|"U "|"USER_TABLE"|"8/30/2025 11:51:26 PM"|"8/30/2025 11:51:26 PM"|"False"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"QueryNotificationErrorsQueue"|"1977058079"|""|"1"|"0"|"SQ"|"SERVICE_QUEUE"|"4/13/2009 12:59:13 PM"|"4/13/2009 12:59:13 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"queue_messages_1977058079"|"1993058136"|""|"4"|"1977058079"|"IT"|"INTERNAL_TABLE"|"4/13/2009 12:59:13 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"EventNotificationErrorsQueue"|"2009058193"|""|"1"|"0"|"SQ"|"SERVICE_QUEUE"|"4/13/2009 12:59:13 PM"|"4/13/2009 12:59:13 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"queue_messages_2009058193"|"2025058250"|""|"4"|"2009058193"|"IT"|"INTERNAL_TABLE"|"4/13/2009 12:59:13 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"ServiceBrokerQueue"|"2041058307"|""|"1"|"0"|"SQ"|"SERVICE_QUEUE"|"4/13/2009 12:59:13 PM"|"4/13/2009 12:59:13 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"queue_messages_2041058307"|"2057058364"|""|"4"|"2041058307"|"IT"|"INTERNAL_TABLE"|"4/13/2009 12:59:13 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"filestream_tombstone_2073058421"|"2073058421"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syscommittab"|"2089058478"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"filetable_updates_2105058535"|"2105058535"|""|"4"|"0"|"IT"|"INTERNAL_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
