"SQLInstance"|"object_name"|"counter_name"|"instance_name"|"cntr_value"|"cntr_type"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts/sec                                                                                                               "|"RowGroup                                                                                                                        "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Number of Deadlocks/sec                                                                                                         "|"RowGroup                                                                                                                        "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Waits/sec                                                                                                                  "|"RowGroup                                                                                                                        "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Wait Time (ms)                                                                                                             "|"RowGroup                                                                                                                        "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time (ms)                                                                                                          "|"RowGroup                                                                                                                        "|"0"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time Base                                                                                                          "|"RowGroup                                                                                                                        "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts (timeout > 0)/sec                                                                                                 "|"RowGroup                                                                                                                        "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Requests/sec                                                                                                               "|"OIB                                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts/sec                                                                                                               "|"OIB                                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Number of Deadlocks/sec                                                                                                         "|"OIB                                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Waits/sec                                                                                                                  "|"OIB                                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Wait Time (ms)                                                                                                             "|"OIB                                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time (ms)                                                                                                          "|"OIB                                                                                                                             "|"0"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time Base                                                                                                          "|"OIB                                                                                                                             "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts (timeout > 0)/sec                                                                                                 "|"OIB                                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Requests/sec                                                                                                               "|"AllocUnit                                                                                                                       "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts/sec                                                                                                               "|"AllocUnit                                                                                                                       "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Number of Deadlocks/sec                                                                                                         "|"AllocUnit                                                                                                                       "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Waits/sec                                                                                                                  "|"AllocUnit                                                                                                                       "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Wait Time (ms)                                                                                                             "|"AllocUnit                                                                                                                       "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time (ms)                                                                                                          "|"AllocUnit                                                                                                                       "|"0"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time Base                                                                                                          "|"AllocUnit                                                                                                                       "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts (timeout > 0)/sec                                                                                                 "|"AllocUnit                                                                                                                       "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Requests/sec                                                                                                               "|"HoBT                                                                                                                            "|"600"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts/sec                                                                                                               "|"HoBT                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Number of Deadlocks/sec                                                                                                         "|"HoBT                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Waits/sec                                                                                                                  "|"HoBT                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Wait Time (ms)                                                                                                             "|"HoBT                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time (ms)                                                                                                          "|"HoBT                                                                                                                            "|"0"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time Base                                                                                                          "|"HoBT                                                                                                                            "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts (timeout > 0)/sec                                                                                                 "|"HoBT                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Requests/sec                                                                                                               "|"Metadata                                                                                                                        "|"7821857"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts/sec                                                                                                               "|"Metadata                                                                                                                        "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Number of Deadlocks/sec                                                                                                         "|"Metadata                                                                                                                        "|"0"|"272696576"
